First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Brad,Riddell,Quake,"5' 7""",155 lbs.,"71.0""",Orthodox,10,4,0,
Matthew,Riddle,Deep Waters,"6' 1""",170 lbs.,"76.0""",Southpaw,8,3,0,
Joe,Riggs,Diesel,"6' 0""",185 lbs.,"70.0""",Southpaw,44,17,0,
Jeremiah,Riggs,,"6' 0""",185 lbs.,--,,7,8,0,
Aaron,Riley,,"5' 8""",155 lbs.,"69.0""",Southpaw,30,14,1,
Jason,Riley,The Juggernaut,"6' 6""",245 lbs.,--,,10,7,0,
Moise,Rimbon,Swamp,"5' 10""",205 lbs.,--,Orthodox,23,11,3,
Jordan,Rinaldi,All Day,"5' 10""",145 lbs.,"72.0""",Orthodox,14,7,0,
Nick,Ring,The Promise,"6' 0""",185 lbs.,"74.0""",Southpaw,14,4,0,
Robbie,Ring,Razor,--,145 lbs.,--,,6,0,0,
Mike,Rio,The Wolverine,"5' 10""",155 lbs.,"70.0""",Orthodox,10,5,0,
Albert,Rios,,"5' 8""",145 lbs.,--,,13,6,0,
Rafael,Rios,,--,150 lbs.,--,,4,2,0,
Maria,Rios,,"5' 5""",125 lbs.,--,,2,3,0,
Shannon,Ritch,The Cannon,"5' 9""",190 lbs.,--,Orthodox,56,83,0,
Diego,Rivas,Pitbull,"5' 8""",145 lbs.,"69.0""",Orthodox,10,2,0,
Jorge,Rivera,El Conquistador,"6' 1""",185 lbs.,"73.0""",Orthodox,20,9,0,
Dante,Rivera,,"6' 1""",185 lbs.,--,Southpaw,16,7,0,
Mario,Rivera,,"5' 10""",170 lbs.,--,,6,8,0,
Francisco,Rivera,Cisco,"5' 8""",135 lbs.,"70.0""",Orthodox,11,7,0,
Jonathan,Rivera,,--,155 lbs.,--,,4,2,0,
Jimmie,Rivera,El Terror,"5' 4""",135 lbs.,"68.0""",Orthodox,23,5,0,
Irwin,Rivera,The Beast,"5' 6""",135 lbs.,"67.0""",Southpaw,10,6,0,
Jerome,Rivera,Renegade,"5' 10""",125 lbs.,"72.0""",Southpaw,10,6,0,
Nicdali,Rivera-Calanoc,The Night Queen,"5' 3""",105 lbs.,--,,9,10,0,
Pedro,Rizzo,The Rock,"6' 1""",241 lbs.,--,Orthodox,20,11,0,
Theo,Rlayang,Jungle King,"5' 7""",145 lbs.,"65.0""",Orthodox,5,1,0,
Justin,Robbins,,"5' 5""",135 lbs.,--,,14,18,1,
Kali,Robbins,Pop Tart,"5' 3""",115 lbs.,"63.0""",Orthodox,6,3,0,
Karl,Roberson,Baby K,"6' 1""",205 lbs.,"74.0""",Southpaw,9,6,0,
Andre,Roberts,The Chief,"6' 2""",345 lbs.,--,Orthodox,14,2,1,
David,Roberts,,"6' 1""",170 lbs.,--,Orthodox,5,8,0,
Joey,Roberts,,"6' 2""",200 lbs.,--,,4,3,0,
Tyrone,Roberts,Native Warrior,"5' 9""",185 lbs.,--,Orthodox,43,12,1,
Ryan,Roberts,,"5' 6""",155 lbs.,--,Orthodox,21,12,1,
Taylor,Roberts,,"5' 11""",170 lbs.,--,,3,12,0,
Daniel,Roberts,Ninja,"5' 10""",170 lbs.,"74.0""",Southpaw,15,7,0,
Buddy,Roberts,,"6' 2""",185 lbs.,--,Orthodox,12,3,0,
Danny,Roberts,Hot Chocolate,"6' 1""",170 lbs.,"74.0""",Southpaw,18,7,0,
Roosevelt,Roberts,The Predator,"6' 2""",155 lbs.,"73.0""",Orthodox,10,3,0,
Kenny,Robertson,,"5' 10""",170 lbs.,"74.0""",Orthodox,15,5,0,
Gillian,Robertson,The Savage,"5' 5""",115 lbs.,"63.0""",Orthodox,12,8,0,
Chad,Robichaux,Robo,"5' 4""",135 lbs.,--,,13,2,0,
Mark,Robinson,White Rhino,"6' 0""",265 lbs.,--,Orthodox,1,0,0,
Colin,Robinson,Big C,"6' 4""",243 lbs.,--,Orthodox,10,12,0,
Alvin,Robinson,,"5' 9""",155 lbs.,"68.0""",Southpaw,15,9,0,
Damonte,Robinson,,"6' 0""",155 lbs.,"77.0""",,6,1,1,
Vagner,Rocha,Ceara,"5' 10""",155 lbs.,"73.0""",Orthodox,14,4,0,
Carlos Eduardo,Rocha,Ta Danado,"5' 10""",170 lbs.,"73.0""",Orthodox,9,4,0,
Pedro,Rocha,,--,--,--,,1,0,0,
Lucas,Rocha,Fenomeno,--,125 lbs.,--,,16,1,0,
Keith,Rockel,Rock,"6' 0""",185 lbs.,--,Orthodox,12,4,1,
Luke,Rockhold,,"6' 3""",185 lbs.,"77.0""",Southpaw,16,6,0,
Kevin,Roddy,K-Rod,"5' 11""",145 lbs.,--,,15,16,1,
Gregory,Rodrigues,Robocop,"6' 3""",185 lbs.,"75.0""",Orthodox,13,5,0,
Kleydson,Rodrigues,KR,"5' 5""",125 lbs.,"67.0""",Orthodox,8,2,0,
Paul,Rodriguez,,"5' 7""",155 lbs.,--,Orthodox,10,9,2,
Ricco,Rodriguez,Suave,"6' 4""",265 lbs.,--,Orthodox,53,25,0,
Manuel,Rodriguez,Chalate,"5' 9""",170 lbs.,--,Orthodox,11,5,0,
Yair,Rodriguez,El Pantera,"5' 11""",145 lbs.,"71.0""",Orthodox,16,4,0,
Mike,Rodriguez,Slo Mike,"6' 4""",205 lbs.,"82.0""",Southpaw,11,7,0,
Marina,Rodriguez,,"5' 6""",115 lbs.,"65.0""",Orthodox,16,3,2,
Daniel,Rodriguez,D-Rod,"6' 1""",170 lbs.,"74.0""",Southpaw,17,4,0,
Ray,Rodriguez,The Judge,"5' 7""",135 lbs.,"70.0""",Orthodox,16,8,0,
Luis,Rodriguez,Lazy Boy,"5' 6""",125 lbs.,"65.0""",Orthodox,11,2,0,
Drako,Rodriguez,,"5' 8""",135 lbs.,"69.0""",Orthodox,7,3,0,
Victor,Rodriguez,Vicious,"5' 5""",125 lbs.,"67.0""",Switch,7,4,0,
Piera,Rodriguez,La Fiera,"5' 3""",115 lbs.,"63.0""",Orthodox,9,1,0,
Christian,Rodriguez,,"5' 7""",135 lbs.,"71.0""",Orthodox,9,1,0,
Pete,Rodriguez,Dead Game,"5' 9""",155 lbs.,"71.0""",Switch,5,1,0,
Nick,Roehrick,,"6' 2""",205 lbs.,--,Orthodox,7,1,0,
Marcos,Rogerio de Lima,Pezao,"6' 1""",253 lbs.,"75.0""",Orthodox,21,9,1,
Brett,Rogers,The Grim,"6' 5""",265 lbs.,"81.0""",Orthodox,17,10,0,
Brian,Rogers,The Professional Predator,"5' 11""",185 lbs.,--,,14,9,0,
Pete,Rogers Jr.,The Heat,"6' 0""",145 lbs.,--,,2,4,0,
Max,Rohskopf,Rated R,"6' 1""",155 lbs.,"71.0""",Orthodox,5,1,0,
Marcelo,Rojo,Pitbull,"5' 8""",145 lbs.,"71.0""",Orthodox,16,10,0,
Shane,Roller,,"5' 10""",155 lbs.,"72.0""",Orthodox,11,7,0,
Jared,Rollins,J-Roc,"5' 9""",170 lbs.,--,Orthodox,8,4,0,
Tim,Roman,,"6' 1""",170 lbs.,--,,3,4,0,
Alexandr,Romanov,King Kong,"6' 2""",262 lbs.,"75.0""",Southpaw,17,2,0,
Ricardo,Romero,,"6' 0""",205 lbs.,"76.0""",Orthodox,11,3,0,
Yoel,Romero,Soldier of God,"6' 0""",185 lbs.,"73.0""",Southpaw,13,5,0,
Anthony,Romero,The Genius,"5' 11""",155 lbs.,"70.0""",Orthodox,8,0,0,
Kaleio,Romero,KO,"5' 10""",145 lbs.,"69.0""",Switch,6,2,0,
Mara,Romero Borella,,"5' 6""",125 lbs.,"69.0""",Orthodox,12,9,0,
Juancamilo,Ronderos,100,"5' 3""",125 lbs.,"64.0""",Southpaw,4,2,0,
,Rongzhu,,"5' 9""",155 lbs.,"72.0""",Orthodox,23,5,0,
Jesse,Ronson,The Body Snatcher,"5' 10""",155 lbs.,"70.0""",Southpaw,21,12,0,
George,Roop,,"6' 1""",135 lbs.,"72.0""",Orthodox,15,13,1,
Joao,Roque,,"5' 6""",155 lbs.,--,Orthodox,7,2,4,
Aaron,Rosa,,"6' 4""",205 lbs.,"77.0""",Orthodox,18,6,0,
Charles,Rosa,Boston Strong,"5' 9""",145 lbs.,"69.0""",Switch,14,8,0,
Karol,Rosa,,"5' 5""",145 lbs.,"67.0""",Orthodox,17,5,0,
Jacob,Rosales,The Lil Badger,"5' 11""",155 lbs.,"74.0""",Orthodox,13,7,0,
Raul,Rosas Jr.,El Nino Problema,"5' 9""",135 lbs.,"67.0""",Switch,7,1,0,
Hilarie,Rose,,"5' 3""",115 lbs.,"63.0""",Orthodox,4,2,0,
Jake,Rosholt,,"6' 1""",185 lbs.,--,Orthodox,12,5,0,
Jared,Rosholt,,"6' 2""",265 lbs.,"75.0""",Orthodox,14,4,0,
Kevin,Rosier,,"6' 4""",275 lbs.,--,Orthodox,2,6,0,
Zach,Rosol,,--,243 lbs.,--,,3,2,0,
Shannon,Ross,The Turkish Delight,"5' 6""",125 lbs.,"66.0""",Switch,13,8,0,
Nick,Rossborough,Leatherface,"6' 5""",205 lbs.,--,,26,19,1,
Kristian,Rothaermel,,"6' 0""",205 lbs.,--,Open Stance,4,3,0,
Ben,Rothwell,,"6' 4""",265 lbs.,"78.0""",Orthodox,39,14,0,
Rick,Roufus,,"6' 0""",207 lbs.,--,Southpaw,4,6,0,
Khalil,Rountree Jr.,,"6' 1""",205 lbs.,"76.0""",Southpaw,12,5,0,
Ronda,Rousey,Rowdy,"5' 7""",135 lbs.,"66.0""",Orthodox,12,2,0,
Ray,Routh,,"5' 8""",185 lbs.,--,Orthodox,2,1,0,
Roberta,Rovel,Crusher,"5' 8""",145 lbs.,--,,4,1,0,
Phil,Rowe,The Fresh Prince,"6' 3""",170 lbs.,"80.0""",Orthodox,10,4,0,
Cameron,Rowston,Van Damme,--,185 lbs.,--,,8,2,0,
Kain,Royer,,--,185 lbs.,--,,2,2,0,
Brad,Royster,,--,135 lbs.,--,,1,2,0,
Brandon,Royval,Raw Dawg,"5' 9""",125 lbs.,"68.0""",Southpaw,15,6,0,
Jairzinho,Rozenstruik,Bigi Boy,"6' 2""",242 lbs.,"78.0""",Orthodox,13,5,0,
Mauricio,Rua,Shogun,"6' 1""",205 lbs.,"76.0""",Orthodox,27,14,1,
Murilo,Rua,Ninja,"5' 11""",185 lbs.,--,Orthodox,20,13,1,
Marco,Ruas,King of the Streets,"6' 1""",210 lbs.,--,Orthodox,9,4,2,
Rodrigo,Ruas,,"5' 10""",185 lbs.,--,Orthodox,4,5,1,
Rodolfo,Rubio Perez,Fito,"5' 5""",145 lbs.,--,Orthodox,10,16,1,
Gabe,Ruediger,Godzilla,"5' 10""",155 lbs.,--,Orthodox,18,8,0,
Eddie,Ruiz,,"5' 7""",155 lbs.,--,Orthodox,1,1,0,
Anthony,Ruiz,El Toro,"6' 2""",205 lbs.,--,Orthodox,33,22,0,
Paul,Ruiz,,"5' 6""",135 lbs.,--,,7,4,0,
Mike,Russow,,"6' 1""",255 lbs.,"73.0""",Orthodox,15,3,0,
Bas,Rutten,El Guapo,"6' 1""",205 lbs.,--,Orthodox,28,4,1,
Nursulton,Ruziboev,Black,"6' 5""",185 lbs.,"76.0""",Orthodox,35,8,2,
Casey,Ryan,,--,185 lbs.,--,,7,3,0,
,,,,,,,,,,
Yusup,Saadulaev,Maestro,"5' 6""",135 lbs.,--,,16,4,1,
Cameron,Saaiman,MSP,"5' 8""",135 lbs.,"67.0""",Southpaw,9,0,0,
Pete,Sabala,,--,135 lbs.,--,,3,15,0,
Danny,Sabatello,Italian Gangster,"5' 10""",135 lbs.,"71.0""",Orthodox,9,1,0,
Pat,Sabatini,,"5' 8""",145 lbs.,"70.0""",Orthodox,18,4,0,
Amir,Sadollah,,"5' 10""",170 lbs.,"75.0""",Orthodox,6,5,0,
Nazim,Sadykhov,Black Wolf,"5' 10""",155 lbs.,"69.0""",Southpaw,9,1,0,
Frankie,Saenz,,"5' 6""",135 lbs.,"66.0""",Orthodox,13,7,0,
Saparbeg,Safarov,,"6' 1""",185 lbs.,"78.0""",Orthodox,9,3,0,
Tarec,Saffiedine,Sponge,"5' 10""",170 lbs.,"70.0""",Switch,16,7,0,
Jason,Saggo,,"5' 11""",155 lbs.,"71.0""",Orthodox,12,4,0,
Benoit,Saint Denis,God of War,"5' 11""",155 lbs.,"73.0""",Southpaw,11,1,0,
Ovince,Saint Preux,,"6' 3""",205 lbs.,"80.0""",Southpaw,26,17,0,
Lukasz,Sajewski,Wookie,"5' 8""",155 lbs.,"71.0""",Orthodox,13,3,0,
Yukio,Sakaguchi,,"5' 9""",185 lbs.,--,Orthodox,6,7,0,
Augusto,Sakai,,"6' 3""",265 lbs.,"77.0""",Orthodox,16,5,1,
Alessio,Sakara,Legionarius,"6' 0""",185 lbs.,"72.0""",Orthodox,19,11,0,
Wataru,Sakata,,"5' 9""",195 lbs.,--,Southpaw,11,14,0,
Gokhan,Saki,The Rebel,"6' 0""",205 lbs.,"73.0""",Orthodox,1,2,0,
Kazushi,Sakuraba,The Gracie Hunter,"6' 0""",185 lbs.,--,Southpaw,26,17,1,
Hayato,Sakurai,Mach,"5' 7""",168 lbs.,--,Orthodox,38,13,2,
Ryuta,Sakurai,,"5' 7""",183 lbs.,--,Orthodox,24,24,6,
Justin,Salas,J-Bomb,"5' 8""",155 lbs.,"70.0""",Southpaw,12,7,0,
Ivan,Salaverry,,"6' 0""",185 lbs.,--,Orthodox,14,9,0,
Roman,Salazar,El Gallito,"5' 7""",135 lbs.,--,Orthodox,10,6,0,
Luis,Saldana,,"5' 11""",145 lbs.,"73.0""",Orthodox,16,7,1,
John,Salgado,Greco,"5' 10""",170 lbs.,--,,4,8,1,
Muslim,Salikhov,King of Kung Fu,"5' 11""",170 lbs.,"70.0""",Orthodox,19,4,0,
Gabriel,Salinas-Jones,,"6' 1""",245 lbs.,--,,5,2,1,
Brandon,Saling,White Steel,"5' 10""",170 lbs.,--,,8,6,0,
Sean,Salmon,,"5' 10""",185 lbs.,--,Southpaw,18,21,0,
Boston,Salmon,Boom Boom,"5' 9""",135 lbs.,"69.0""",Southpaw,6,3,0,
John,Salter,,"6' 1""",185 lbs.,"74.0""",Southpaw,14,3,0,
Vinicius,Salvador,,"5' 7""",125 lbs.,"70.0""",Southpaw,14,5,0,
Dylan,Salvador,,--,155 lbs.,--,,5,1,0,
Josh,Samman,Anqa,"6' 3""",185 lbs.,"79.0""",Orthodox,13,4,0,
Johnny,Sampaio,,"5' 8""",170 lbs.,--,Orthodox,3,1,0,
Josh,Sampo,The Gremlin,"5' 4""",125 lbs.,"64.0""",Orthodox,11,5,0,
Josh,San Diego,JSD,"5' 10""",135 lbs.,--,,8,3,0,
Diego,Sanchez,Nightmare,"5' 10""",170 lbs.,"72.0""",Southpaw,31,13,0,
Eddie,Sanchez,The Manic Hispanic,"6' 2""",230 lbs.,"74.0""",Orthodox,15,8,0,
Julian,Sanchez,,"6' 3""",300 lbs.,--,Orthodox,0,1,0,
Bobby,Sanchez,The Kid,"5' 7""",155 lbs.,--,Orthodox,10,35,0,
Donald,Sanchez,,"5' 10""",145 lbs.,--,,31,17,0,
Joby,Sanchez,,"5' 6""",135 lbs.,"68.0""",Orthodox,11,4,0,
Emmanuel,Sanchez,El Matador,"5' 9""",145 lbs.,"71.0""",,15,3,0,
Erick,Sanchez,,"5' 10""",145 lbs.,--,,8,3,0,
Andrew,Sanchez,El Dirte,"6' 1""",185 lbs.,"74.0""",Orthodox,13,7,0,
Robert,Sanchez,Littlefury,"5' 6""",125 lbs.,"66.0""",Orthodox,8,2,0,
Jesse,Sanders,,"6' 0""",170 lbs.,--,Orthodox,23,7,0,
Luke,Sanders,Cool Hand,"5' 6""",135 lbs.,"67.0""",Southpaw,13,5,0,
Jerrod,Sanders,J-Reazie,"5' 8""",135 lbs.,"72.0""",Orthodox,16,3,0,
Cory,Sandhagen,,"5' 11""",135 lbs.,"70.0""",Switch,16,4,0,
Hugo,Sandoval,,--,135 lbs.,--,,2,3,0,
Raul,Sandoval,,--,130 lbs.,--,,3,3,0,
Joseph,Sandoval,,"5' 7""",135 lbs.,--,Southpaw,7,7,0,
Hector,Sandoval,Kid Alex,"5' 2""",125 lbs.,"64.0""",Orthodox,14,4,0,
Chris,Sanford,,"5' 11""",185 lbs.,--,Orthodox,5,1,0,
Roldan,Sangcha'an,The Executioner,"5' 4""",125 lbs.,--,Orthodox,4,2,0,
Yuhi,Sano,,"5' 11""",243 lbs.,--,Orthodox,0,4,0,
Martin,Sano,Spartan,"5' 11""",170 lbs.,"75.0""",Orthodox,4,3,1,
Jonathan,Santa Maria,,"5' 9""",125 lbs.,--,,3,4,0,
Duda,Santana,Cowboyzinha,"5' 7""",145 lbs.,"73.0""",Orthodox,3,1,0,
Shaheen,Santana,Shazam,"6' 1""",155 lbs.,"75.0""",Orthodox,6,1,0,
Sean,Santella,Shorty Rock,"5' 5""",125 lbs.,--,,17,6,1,
Jorge,Santiago,The Sandman,"6' 1""",170 lbs.,"75.0""",Orthodox,25,12,0,
Mike,Santiago,,"5' 10""",145 lbs.,"69.0""",Orthodox,19,12,0,
Will,Santiago,The Brown Bomber,"5' 7""",185 lbs.,--,Orthodox,9,5,0,
Richie,Santiago,The Milford Mauler,"5' 7""",135 lbs.,"67.0""",Southpaw,7,2,0,
Jose,Santibanez,,--,155 lbs.,--,,10,3,0,
Art,Santore,Pachuco,"6' 2""",185 lbs.,--,,18,8,0,
Adriano,Santos,,--,--,--,,0,1,0,
Paulo,Santos,,--,--,--,,0,3,0,
Evangelista,Santos,Cyborg,"5' 10""",170 lbs.,"76.0""",Orthodox,21,18,0,
Luis,Santos,,"6' 1""",170 lbs.,--,Southpaw,63,10,1,
Iliarde,Santos,,"5' 5""",125 lbs.,"67.0""",Orthodox,30,13,1,
Leonardo,Santos,,"6' 0""",155 lbs.,"75.0""",Orthodox,18,7,1,
Thiago,Santos,Marreta,"6' 2""",205 lbs.,"76.0""",Orthodox,22,11,0,
Bruno,Santos,Carioca,"5' 9""",185 lbs.,--,Orthodox,15,2,0,
Andre,Santos,Chatuba,"6' 0""",170 lbs.,--,,38,10,0,
Gleristone,Santos,Toninho Furia,"5' 9""",145 lbs.,--,,33,7,0,
Yana,Santos,,"5' 6""",135 lbs.,"68.0""",Orthodox,14,8,0,
Taila,Santos,,"5' 6""",125 lbs.,"68.0""",Orthodox,19,2,0,
Marilia,Santos,Chocolate,"5' 4""",125 lbs.,--,Orthodox,10,3,0,
Edivan,Santos,Pe De Sapo,"6' 4""",248 lbs.,"78.0""",Orthodox,12,3,1,
Daniel,Santos,Willycat,"5' 7""",135 lbs.,"67.0""",Orthodox,12,2,0,
Gabriel,Santos,Mosquitinho,"5' 9""",145 lbs.,"70.0""",Orthodox,10,2,0,
Luana,Santos,,--,125 lbs.,--,,5,1,0,
Nick,Sanzo,,"5' 9""",190 lbs.,--,,1,1,0,
Bob,Sapp,The Beast,"6' 5""",350 lbs.,--,Orthodox,11,20,0,
Daniel,Sarafian,,"5' 9""",185 lbs.,"73.0""",Orthodox,10,6,0,
Jeka,Saragih,,"5' 8""",155 lbs.,"69.0""",Orthodox,13,3,0,
Diego,Saraiva,The Octopus,"5' 6""",155 lbs.,--,Orthodox,22,20,1,
Harris,Sarmiento,The Hitman,"5' 9""",155 lbs.,--,Orthodox,36,26,0,
Alexander,Sarnavskiy,Tiger,"5' 11""",155 lbs.,--,,35,6,0,
Yuki,Sasaki,,"6' 2""",185 lbs.,--,Orthodox,25,22,2,
Kyosuke,Sasaki,,"5' 7""",183 lbs.,--,Southpaw,3,7,4,
Yuta,Sasaki,Ulka,"5' 10""",125 lbs.,"71.0""",Southpaw,21,6,2,
Paul,Sass,,"6' 0""",155 lbs.,"73.0""",Orthodox,14,2,0,
Keisuke,Sasu,Sasuke,"5' 5""",145 lbs.,"69.0""",Switch,11,3,1,
Masaaki,Satake,,"6' 1""",220 lbs.,--,Orthodox,1,8,1,
Takenori,Sato,,"5' 10""",170 lbs.,--,Southpaw,19,11,7,
Takashi,Sato,Ten,"5' 10""",170 lbs.,"73.0""",Southpaw,16,7,0,
Jeimeson,Saudino,The Minion,"5' 6""",135 lbs.,--,,8,5,0,
Tom,Sauer,,"6' 1""",263 lbs.,--,,25,12,0,
Townsend,Saunders,,"5' 5""",170 lbs.,--,Orthodox,0,2,0,
Ben,Saunders,Killa B,"6' 2""",170 lbs.,"77.0""",Orthodox,22,13,2,
Chad W.,Saunders,,"5' 10""",170 lbs.,--,Orthodox,7,2,0,
Chris,Saunders,The So Cal Kid,"5' 8""",155 lbs.,--,,16,8,0,
Lumumba,Sayers,,"6' 0""",185 lbs.,--,,6,5,0,
Matt,Sayles,,"5' 7""",155 lbs.,"68.0""",Orthodox,8,4,0,
Brandon,Sayles,Man of War,"6' 5""",265 lbs.,--,,5,1,0,
Mark,Scanlon,,"5' 9""",170 lbs.,--,Orthodox,9,2,0,
Eric,Schafer,Red,"6' 3""",185 lbs.,"76.0""",Orthodox,14,8,2,
Kerry,Schall,Meat Truck,"6' 2""",265 lbs.,--,Orthodox,24,13,0,
Eric,Schambari,,"5' 11""",185 lbs.,--,Orthodox,15,6,0,
Brendan,Schaub,Big Brown,"6' 4""",245 lbs.,"78.0""",Orthodox,10,5,0,
Matheus,Scheffel,Buffa,"6' 2""",205 lbs.,"75.0""",Orthodox,14,7,0,
Antonio,Schembri,Nino,"5' 9""",205 lbs.,--,Orthodox,5,5,0,
Fabiano,Scherner,Pegaleve,"6' 3""",257 lbs.,--,Orthodox,11,10,0,
Samy,Schiavo,,"5' 8""",155 lbs.,--,Orthodox,10,6,0,
Pat,Schilling,Thrilling,"5' 8""",145 lbs.,--,Orthodox,5,2,0,
Joe,Schilling,,"6' 3""",185 lbs.,--,,2,5,0,
Semmy,Schilt,Hightower,"6' 10""",265 lbs.,--,Orthodox,26,14,1,
Adam,Schindler,,"5' 8""",155 lbs.,--,,10,6,0,
Daniel,Schmitt,,--,185 lbs.,--,,2,3,0,
Colleen,Schneider,,--,135 lbs.,--,,11,7,0,
Matt,Schnell,Danger,"5' 8""",125 lbs.,"70.0""",Orthodox,16,7,0,
Alex,Schoenauer,,"6' 3""",185 lbs.,--,Orthodox,15,10,0,
Darrill,Schoonover,The Boss,"6' 2""",220 lbs.,--,Orthodox,14,8,0,
Bob,Schrijber,Dirty,"6' 0""",240 lbs.,--,Orthodox,20,17,1,
Nate,Schroeder,,"6' 1""",230 lbs.,--,,11,10,0,
Lacey,Schuckman,,"5' 3""",125 lbs.,--,,11,10,0,
Mark,Schultz,,"5' 9""",200 lbs.,--,Orthodox,1,1,0,
Brian,Schwartz,,"6' 3""",170 lbs.,--,Orthodox,1,1,0,
Eric,Schwartz,,--,205 lbs.,--,,2,0,0,
Justin,Scoggins,,"5' 7""",125 lbs.,"66.0""",Southpaw,11,5,0,
Brad,Scott,Bear,"6' 1""",170 lbs.,"76.0""",Orthodox,11,6,0,
Greg,Scott,,"5' 9""",145 lbs.,--,,3,4,0,
Mike,Seal,Crazy Boy,"6' 4""",185 lbs.,--,Orthodox,13,15,1,
Matt,Secor,,"6' 0""",170 lbs.,--,,8,4,0,
Kenneth,Seegrist,,"6' 0""",185 lbs.,--,Orthodox,4,7,0,
Neil,Seery,2Tap,"5' 4""",125 lbs.,"64.0""",Orthodox,16,13,0,
Rony,Sefo,,"5' 9""",225 lbs.,--,Orthodox,0,2,0,
Ray,Sefo,Sugarfoot,"6' 0""",240 lbs.,--,Orthodox,2,2,0,
Brendan,Seguin,,"6' 0""",185 lbs.,--,,23,19,1,
Tetsuya,Seki,,"5' 10""",155 lbs.,--,,14,8,1,
Stefan,Sekulic,,"6' 0""",170 lbs.,"75.0""",Southpaw,12,4,0,
Pete,Sell,Drago,"5' 11""",170 lbs.,"75.0""",Orthodox,10,7,0,
Matthew,Semelsberger,Semi The Jedi,"6' 1""",170 lbs.,"75.0""",Switch,11,5,0,
Andrei,Semenov,,"6' 0""",185 lbs.,--,Orthodox,34,9,2,
Mackens,Semerzier,Da Menace,"5' 9""",145 lbs.,"72.0""",Orthodox,8,4,0,
Brandon,Sene,,"5' 11""",205 lbs.,--,,2,2,0,
YeDam,Seo,,"5' 2""",115 lbs.,"63.0""",Orthodox,6,3,0,
Kim In,Seok,,"5' 6""",145 lbs.,--,Orthodox,3,6,0,
Ray,Seraille,,"6' 3""",246 lbs.,--,,8,9,0,
Ivan,Serati,,"6' 0""",205 lbs.,--,Orthodox,12,4,0,
Alex,Serdyukov,The Russian Crusher,"6' 2""",170 lbs.,"74.0""",Orthodox,8,5,0,
Nicholas,Sergiacomi,,--,170 lbs.,--,,1,1,0,
Matt,Serra,The Terra,"5' 6""",170 lbs.,"68.0""",Orthodox,11,7,0,
Nick,Serra,The Mad Monkey,"5' 9""",170 lbs.,--,Orthodox,7,3,0,
Adrian,Serrano,,"5' 8""",170 lbs.,--,,56,29,4,
Fredy,Serrano,El Profe,"5' 3""",125 lbs.,"65.0""",Orthodox,3,2,0,
Carl,Seumanutafa,,"6' 1""",255 lbs.,--,Orthodox,10,8,0,
Dan,Severn,The Beast,"6' 2""",250 lbs.,--,Southpaw,101,19,1,
Rosi,Sexton,The Surgeon,"5' 3""",135 lbs.,--,Orthodox,13,5,0,
Scott,Shaffer,,"5' 7""",145 lbs.,--,Orthodox,0,1,0,
Edmen,Shahbazyan,The Golden Boy,"6' 2""",185 lbs.,"75.0""",Orthodox,12,4,0,
Leon,Shahbazyan,,"6' 4""",170 lbs.,"74.0""",Orthodox,7,2,0,
Don,Shainis,Shameless,"5' 6""",145 lbs.,"67.0""",Orthodox,12,5,0,
Liliya,Shakirova,,"5' 4""",125 lbs.,"65.0""",Orthodox,8,2,0,
Kamal,Shalorus,Prince of Persia,"5' 8""",155 lbs.,"68.0""",Orthodox,9,5,2,
Ken,Shamrock,The World's Most Dangerous Man,"6' 1""",205 lbs.,"72.0""",Orthodox,28,17,2,
Frank,Shamrock,,"5' 10""",185 lbs.,--,Orthodox,23,10,2,
Shang,Zhifa,Northeast Flying Tiger,"5' 7""",125 lbs.,"63.0""",Orthodox,32,8,0,
Jason,Sharp,,--,205 lbs.,--,,3,3,0,
Eric,Shelton,Showtime,"5' 6""",125 lbs.,"68.0""",Orthodox,12,6,0,
Sean,Sherk,The Muscle Shark,"5' 6""",155 lbs.,"67.0""",Orthodox,36,4,1,
Chase,Sherman,The Vanilla Gorilla,"6' 4""",250 lbs.,"78.0""",Orthodox,16,12,0,
Valentina,Shevchenko,Bullet,"5' 5""",125 lbs.,"66.0""",Southpaw,23,4,0,
Antonina,Shevchenko,La Pantera,"5' 8""",125 lbs.,"67.0""",Southpaw,10,4,0,
Katsuyori,Shibata,,"6' 0""",168 lbs.,--,Orthodox,4,11,1,
Jake,Shields,,"6' 0""",170 lbs.,"72.0""",Orthodox,31,9,1,
Henrique,Shiguemoto,,"5' 11""",185 lbs.,"72.0""",Orthodox,13,4,1,
Shunichi,Shimizu,,"5' 5""",135 lbs.,--,Orthodox,30,18,11,
Wade,Shipp,The Nightmare,"6' 3""",245 lbs.,--,Orthodox,11,5,0,
Raja,Shippen,,"5' 6""",145 lbs.,--,,18,11,1,
Yuya,Shirai,,"5' 8""",168 lbs.,--,Orthodox,26,14,2,
Wes,Shivers,,"6' 8""",--,--,,7,1,0,
Alexander,Shlemenko,Storm,"5' 11""",185 lbs.,--,,56,9,0,
Josh,Shockley,,"6' 1""",155 lbs.,--,Orthodox,11,4,0,
Josh,Shockman,The War Hammer,"6' 4""",235 lbs.,--,Southpaw,6,3,0,
Akira,Shoji,,"5' 8""",195 lbs.,--,Orthodox,14,17,5,
Liudvik,Sholinian,Palmeyros,"5' 10""",135 lbs.,"71.0""",Orthodox,9,4,1,
